X,Y,OBJECTID,BOATLANDING_SEQ_NO,LMS_BOAT_LANDING_NAME,LANDING_TYPE_CODE,RAMP_TYPE_CODE,ADA_ACCESSIBLE_FEATURE_CODE,OWNERSHIP_NAME_TEXT,OWNERSHIP_MANAGER_NAME_TEXT,OWNERSHIP_MANAGER_PHONE_TEXT,LL_LAT_DD_AMT,LL_LONG_DD_AMT,WATERBODY_NAME_TEXT,COUNTY_NAME_TEXT,MUNICIPALITY_NAME_TEXT,TOWN_NO,RANGE_NO,RANGE_DIRECTION,ABANDON_FLAG
657665.14491199,298723.3723673,1,107,Merton Millpond Access,RAMP,Concrete,No,VILLAGE,Village of Merton,262-538-0820,43.1487384,-88.30695699,Merton Millpond,Waukesha,VILLAGE OF MERTON,8,18,E,No
642027.13711199,280573.453867299,2,125,School Section Lake Public Access,RAMP,Other,Yes,COUNTY,Dept. of Parks & Land Use,(262) 548-7790,42.98803864,-88.5031905,School Section Lake,Waukesha,TOWN OF OTTAWA,6,17,E,No
636472.10731199,268677.375067299,3,6,Lower Spring Lake Access,RAMP,Concrete,Yes,STATE(DNR),Kettle Moraine State Forest - South. Unit,(262) 594-6200,42.88181616,-88.57378241,Lower Spring Lake,Jefferson,TOWN OF PALMYRA,5,16,E,No
664375.95621199,262728.4086673,4,7,Tichigan Lake Public Access,RAMP,Concrete Panels,Yes,STATE(DNR),SE Recreation Management Area Supervisor,920-988-9835,42.82350402,-88.23376612,Tichigan Lake,Racine,TOWN OF WATERFORD,4,19,E,No
637918.042011989,253441.701267298,6,70,Wandawega Lake,RAMP,Gravel,No,TOWNSHIP,Town of Sugar Creek,262-742-3383,42.74443468,-88.55927005,Wandawega Lake,Walworth,TOWN OF SUGAR CREEK,3,16,E,No
654376.41401199,288922.345867299,7,117,Pewaukee Lake Boat Ramp,RAMP,Concrete Plank,Yes,COUNTY,Dept. of Parks & Land Use,(262) 548-7790,43.06110886,-88.34975807,Pewaukee Lake,Waukesha,TOWN OF DELAFIELD,7,18,E,No
651401.14801199,266723.232367299,8,122,Roxy Pond,CARRY-IN,Unimproved,No,COUNTY,Dept. of Parks & Land Use,(262) 548-7790,42.86154658,-88.39097562,Roxy Pond,Waukesha,TOWN OF MUKWONAGO,5,18,E,No
669356.01431199,263065.3276673,9,3,Waubeesee Lake Public Access,RAMP,Concrete,No,STATE(DNR),,,42.82558079,-88.17278261,Waubeesee Lake,Racine,TOWN OF NORWAY,4,20,E,No
663477.83071199,323145.857767299,10,79,Ackermans Grove County Park Boat Launch,RAMP,Concrete Panels,Yes,COUNTY,Planning & Parks Dept.,(262) 335-4445,43.36749774,-88.22913176,Little Cedar Lake,Washington,TOWN OF POLK,10,19,E,No
660516.22551199,232407.8679673,11,9,Powers Lake,RAMP,Concrete Panels,Yes,STATE(DNR),,,42.55130532,-88.28841811,Powers Lake,Kenosha,TOWN OF RANDALL,1,19,E,No
666672.83901199,334598.459667299,12,82,Smith Lake Access,RAMP,Gravel,No,TOWNSHIP,Town of Barton,262-334-2765,43.46992562,-88.18665391,Smith Lake,Washington,TOWN OF BARTON,12,19,E,No
691538.875911989,375535.143967299,13,140,Jetzers Lake Boat Ramp,RAMP,Concrete Plank,Yes,COUNTY,Planning Dept.,(920) 459-3060,43.83298087,-87.8664176,Jetzers Lake,Sheboygan,TOWN OF HERMAN,16,22,E,No
684435.09821199,372706.2005673,14,134,Big & Little Gerber Lakes,RAMP,Concrete Plank,Yes,COUNTY,Planning Dept.,(920) 459-3060,43.80914096,-87.95558602,Little Gerber Lake,Sheboygan,TOWN OF RHINE,16,21,E,No
636225.806211989,239631.0192673,15,49,Delavan Lake Boat Ramp,RAMP,Concrete Panels,No,TOWNSHIP,Town of Delavan,262-740-2335,42.62035771,-88.582769,Delavan Lake,Walworth,TOWN OF DELAVAN,2,16,E,No
623726.669211989,251720.913367299,16,60,Lorraine Lake Ramp,RAMP,Gravel,No,TOWNSHIP,Town of Richmond,608-883-2017,42.73099172,-88.73293246,Lake Lorraine,Walworth,TOWN OF RICHMOND,3,15,E,No
660320.67421199,324459.5687673,17,76,Big Cedar Lake Ramp,RAMP,Gravel,No,TOWNSHIP,Town of West Bend,262-338-3417,43.37985671,-88.26769569,Cedar Lake,Washington,TOWN OF WEST BEND,11,19,E,No
675291.188311989,233230.2783673,18,23,83rd Street Road End,RAMP,Gravel,No,TOWNSHIP,Town of Salem,262-843-2313,42.55589296,-88.10835706,Hooker Lake,Kenosha,TOWN OF SALEM,1,20,E,No
673345.008511989,241279.055267299,19,19,East Lake Flowage (Vern Wolf Lake),RAMP,Concrete Plank,No,STATE(DNR),,,42.62856327,-88.13098665,Vern Wolf Lake,Kenosha,TOWN OF BRIGHTON,2,20,E,No
669564.34701199,264138.0489673,20,37,Kec-Nong-Ga-Mong Lake (Long Lake),RAMP,Gravel,No,TOWNSHIP,Town of Norway,262-895-6335,42.8351954,-88.16995022,Long Lake,Racine,TOWN OF NORWAY,4,20,E,No
659968.20781199,247455.398267299,21,36,Echo Lake,RAMP,Gravel,No,TOWNSHIP,Town of Burlington,262-763-3070,42.68684362,-88.29144674,Echo Lake,Racine,TOWN OF BURLINGTON,3,19,E,No
675921.67431199,234155.558567299,22,22,Hooker Lake Boat Ramp,RAMP,Paved,No,VILLAGE,Village of Paddock Lake,262-843-2713,42.56406601,-88.10045056,Hooker Lake,Kenosha,VILLAGE OF PADDOCK LAKE,1,20,E,No
666179.85691199,256292.815767299,23,40,Huening Park Boat Ramp,RAMP,Concrete Plank,Yes,VILLAGE,Village Clerk,(262) 534-3890,42.76523463,-88.21337599,Fox River,Racine,VILLAGE OF WATERFORD,4,19,E,No
662863.89631199,246660.628267299,25,38,Rockland Lake,CARRY-IN,Gravel,No,CITY,DPW - Parks Department,(262) 763-2060,42.67582676,-88.24922413,Rockland Lake,Racine,TOWN OF BURLINGTON,3,19,E,No
676288.24031199,233790.013767298,26,24,80th Place Road End Launch,RAMP,Gravel,No,TOWNSHIP,Town of Salem,262-843-2313,42.56070171,-88.09608727,Hooker Lake,Kenosha,TOWN OF SALEM,1,20,E,No
671696.31251199,348537.6489673,27,132,Beechwood Lake Boat Ramp,RAMP,Concrete,No,TOWNSHIP,Town of Scott,920-994-4470,43.59436851,-88.12068736,Beechwood Lake,Sheboygan,TOWN OF SCOTT,13,20,E,No
637255.58621199,251649.927867299,28,67,Silver Lake Carry-In Access,CARRY-IN,Gravel,No,COUNTY,Public Works/County Recreation Dept.,(262) 741-3114,42.72840543,-88.56773285,Silver Lake,Walworth,TOWN OF SUGAR CREEK,3,16,E,No
677385.99781199,232981.991767298,29,28,Montgomery Lake Carry-in,CARRY-IN,Gravel,No,TOWNSHIP,Town of Salem,262-843-2313,42.55320598,-88.08294429,Montgomery Lake,Kenosha,TOWN OF SALEM,1,20,E,No
639423.892311989,284833.246967299,30,1,Golden Lake,RAMP,Concrete Panels,No,STATE(DNR),,,43.02679892,-88.5342004,Golden Lake,Waukesha,TOWN OF SUMMIT,7,17,E,No
657168.523911989,286693.605667299,31,91,Etter Lake,CARRY-IN,Unimproved,No,TOWNSHIP,Town of Delafield,262-646-2398,43.04054821,-88.31603232,Etter Lake,Waukesha,TOWN OF DELAFIELD,7,18,E,No
644559.74941199,233490.162667299,32,51,Geneva Lake - Linn Road,RAMP,Concrete Plank,No,UNKNOWN,,,42.56377226,-88.48252239,Geneva Lake,Walworth,TOWN OF LINN,1,17,E,No
643612.54391199,287151.4987673,33,100,Lower  and Middle Genesee Lakes Public Access,RAMP,Concrete,Yes,STATE(DNR),,,43.04740858,-88.48091206,Lower Genesee Lake,Waukesha,TOWN OF SUMMIT,7,17,E,No
668654.084711989,351173.270067299,34,137,Crooked Lake Ramp,RAMP,Concrete Plank,No,STATE(DNR),Kettle Moraine State Forest - North. Unit,(262) 626-2116,43.61870094,-88.15763305,Crooked Lake,Sheboygan,TOWN OF SCOTT,13,20,E,No
680088.69741199,354747.989267299,35,141,Lake Ellen Boat Launch,RAMP,Concrete Panels,Yes,STATE(DNR),,(920) 892-8756,43.64849751,-88.01493824,Lake Ellen,Sheboygan,TOWN OF LYNDON,14,21,E,No
