Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
Adams County (31),,
Amey Pond,176000,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Arkdale Lake,1374300,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish, Zebra Mussel"
Big Roche A Cri Creek,1374100,"Rusty Crayfish, Zebra Mussel"
Big Roche a Cri,1374800,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Japanese knotweed (Fallopia japonica), Rusty Crayfish, Zebra Mussel"
Camelot Lake,1378100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife, Zebra Mussel"
Castle Rock Lake,1345700,"Eurasian Water-Milfoil, Zebra Mussel"
Crooked Lake,102600,"Banded Mystery Snail, Brittle Waternymph, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Deep Lake,102800,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Easton Lake,1343600,Curly-Leaf Pondweed
Fawn Lake,1301300,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Fenner Lake,103400,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Fourteenmile Creek,1377500,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife"
Friendship Lake,1352000,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Goose Lake,103600,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife"
Jordan Lake,104000,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Lake Arrowhead,1377700,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Zebra Mussel"
Lake Sherwood,1377900,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Zebra Mussel"
Little Roche A Cri Creek,1351100,Chinese Mystery Snail
Mason Lake,175700,"Banded Mystery Snail, Brittle Waternymph, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Japanese knotweed (Fallopia japonica), Phragmites (non-native), Yellow Iris"
McGinnis Lake,179100,"Banded Mystery Snail, Curly-Leaf Pondweed, Hybrid Eurasian / Northern Water-Milfoil"
Parker Lake,106500,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Patrick Lake,106600,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Peppermill Lake,178700,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Petenwell Lake,1377100,"Eurasian Water-Milfoil, Zebra Mussel"
Twin Lakes,1377400,Purple Loosestrife
